"filename", "language", "C#", "Properties", "JSON", "UnityShader", "comment", "blank", "total"
"j:\Unity3d\Projects\Galactic Frontier\Assets\DialogueController.cs", "C#", -111, 0, 0, 0, 0, -16, -127
"j:\Unity3d\Projects\Galactic Frontier\Assets\FloatingRobot.cs", "C#", -16, 0, 0, 0, 0, -4, -20
"j:\Unity3d\Projects\Galactic Frontier\Assets\HintTextController.cs", "C#", -50, 0, 0, 0, 0, -8, -58
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Common\Script\Utils\SecondOrderDynamics.cs", "C#", -107, 0, 0, 0, -1, -26, -134
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Pixel Art Platformer - Village Props\Script\BoundingPlatform.cs", "C#", -89, 0, 0, 0, -2, -19, -110
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Pixel Art Platformer - Village Props\Script\Chest.cs", "C#", -33, 0, 0, 0, 0, -5, -38
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Pixel Art Platformer - Village Props\Script\Editor\ChestEditor.cs", "C#", -11, 0, 0, 0, 0, -3, -14
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Pixel Art Platformer - Village Props\Script\Editor\ElevatorEditor.cs", "C#", -11, 0, 0, 0, 0, -3, -14
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Pixel Art Platformer - Village Props\Script\Elevator.cs", "C#", -103, 0, 0, 0, -99, -35, -237
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Pixel Art Platformer - Village Props\Script\MovingPlatform.cs", "C#", -45, 0, 0, 0, -3, -13, -61
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Attributes\AssetsOnlyAttributeProcessor.cs", "C#", -12, 0, 0, 0, 0, -1, -13
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Attributes\BlockquoteAttributeProcessor.cs", "C#", -17, 0, 0, 0, 0, -2, -19
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Attributes\BoxGroupAttributeProcessor.cs", "C#", -21, 0, 0, 0, 0, -3, -24
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Attributes\DisableIfAttributeProcessor.cs", "C#", -13, 0, 0, 0, 0, -1, -14
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Attributes\DisableInEditModeAttributeProcessor.cs", "C#", -14, 0, 0, 0, 0, -1, -15
