"filename", "language", "C#", "comment", "blank", "total"
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\AchievementController.cs", "C#", 45, 3, 5, 53
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Badge.cs", "C#", 48, 1, 6, 55
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Battle\BattleController.cs", "C#", 155, 6, 15, 176
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Battle\BattleInfo.cs", "C#", 45, 3, 6, 54
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Battle\BuffManager.cs", "C#", 72, 2, 4, 78
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Battle\DebuffManager.cs", "C#", 72, 5, 7, 84
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\CameraController.cs", "C#", 19, 0, 4, 23
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\CardListController.cs", "C#", 85, 1, 10, 96
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\CardPanelController.cs", "C#", 53, 0, 5, 58
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\CardPreviewController.cs", "C#", 19, 0, 3, 22
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Card\Card.cs", "C#", 194, 13, 22, 229
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Card\CardDataManager.cs", "C#", 54, 6, 10, 70
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Card\CardEffectManager.cs", "C#", 41, 1, 4, 46
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Card\DamageText.cs", "C#", 57, 11, 13, 81
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Character\CharacterMovements.cs", "C#", 128, 1, 11, 140
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Character\CharacterSkillController.cs", "C#", 46, 0, 6, 52
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Character\Magician\Sernia.cs", "C#", 69, 0, 6, 75
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Character\Mechanician\Asra.cs", "C#", 69, 0, 6, 75
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Character\Monster\Magki.cs", "C#", 70, 0, 7, 77
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Character\SkillSet.cs", "C#", 11, 0, 3, 14
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\ColorAdapter.cs", "C#", 24, 0, 12, 36
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\DialogueController.cs", "C#", 111, 0, 16, 127
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\BadgeEntity.cs", "C#", 12, 0, 1, 13
"j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Entity\BuffEntity.cs", "C#", 75, 0, 11, 86
