Date : 2025-03-02 15:10:13
Directory : j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts
Total : 91 files,  5778 codes, 231 comments, 716 blanks, all 6725 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |         91 |      5,778 |        231 |        716 |      6,725 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                         |         91 |      5,778 |        231 |        716 |      6,725 |
| . (Files)                                                                                                 |          1 |         45 |          0 |          5 |         50 |
| Achievement                                                                                               |          1 |         49 |          3 |          5 |         57 |
| Battle                                                                                                    |          5 |        470 |         24 |         48 |        542 |
| Camera                                                                                                    |          1 |         19 |          0 |          4 |         23 |
| Cards                                                                                                     |          9 |        939 |         52 |        112 |      1,103 |
| CharacterPanel                                                                                            |          4 |        272 |          7 |         26 |        305 |
| Characters                                                                                                |          4 |        296 |          0 |         27 |        323 |
| Characters (Files)                                                                                        |          1 |         18 |          0 |          3 |         21 |
| Characters\Magician                                                                                       |          1 |         92 |          0 |          8 |        100 |
| Characters\Mechanician                                                                                    |          1 |         92 |          0 |          8 |        100 |
| Characters\Monster                                                                                        |          1 |         94 |          0 |          8 |        102 |
| Entity                                                                                                    |         15 |        780 |          6 |         97 |        883 |
| Init                                                                                                      |          1 |         72 |          5 |         11 |         88 |
| Inventory                                                                                                 |          4 |        459 |         23 |         49 |        531 |
| Main                                                                                                      |          3 |        228 |         16 |         36 |        280 |
| Planet                                                                                                    |          2 |        131 |          0 |         15 |        146 |
| Props                                                                                                     |          3 |        103 |          2 |         11 |        116 |
| Scene                                                                                                     |          2 |         52 |         13 |         11 |         76 |
| Settings                                                                                                  |          1 |         48 |          1 |          8 |         57 |
| Shop                                                                                                      |          1 |        177 |          1 |         12 |        190 |
| Sound                                                                                                     |          1 |         66 |          0 |          9 |         75 |
| Test                                                                                                      |          2 |         80 |         11 |         12 |        103 |
| UI                                                                                                        |         15 |        989 |         30 |        133 |      1,152 |
| Utils                                                                                                     |         15 |        478 |         33 |         79 |        590 |
| Video                                                                                                     |          1 |         25 |          4 |          6 |         35 |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                  | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Achievement\AchievementController.cs       | C#       |         49 |          3 |          5 |         57 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Battle\BattleController.cs                 | C#       |        165 |          6 |         16 |        187 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Battle\BattleInfo.cs                       | C#       |         48 |          3 |          6 |         57 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Battle\BuffManager.cs                      | C#       |         78 |          2 |          5 |         85 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Battle\DebuffManager.cs                    | C#       |         79 |          5 |          7 |         91 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Battle\LineupManager.cs                    | C#       |        100 |          8 |         14 |        122 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Camera\CameraController.cs                 | C#       |         19 |          0 |          4 |         23 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Cards\Card.cs                              | C#       |        228 |         11 |         25 |        264 |
| j:\Unity3d\Projects\Galactic Frontier\Assets\Resources\Scripts\Cards\CardDataManager.cs                   | C#       |        101 |          2 |         10 |        113 |
