"filename", "language", "C#", "ShaderLab", "JSON", "HLSL", "HTML", "Markdown", "PostCSS", "XML", "comment", "blank", "total"
"j:\Unity3d\Projects\Galactic Frontier\Assets\GifToUnity\Editor\GifEditor.cs", "C#", -42, 0, 0, 0, 0, 0, 0, 0, 0, -5, -47
"j:\Unity3d\Projects\Galactic Frontier\Assets\GifToUnity\Editor\GifImporter.cs", "C#", -116, 0, 0, 0, 0, 0, 0, 0, 0, -31, -147
"j:\Unity3d\Projects\Galactic Frontier\Assets\GifToUnity\Gif.cs", "C#", -17, 0, 0, 0, 0, 0, 0, 0, 0, -2, -19
"j:\Unity3d\Projects\Galactic Frontier\Assets\GifToUnity\GifPlayer.cs", "C#", -58, 0, 0, 0, 0, 0, 0, 0, 0, -15, -73
"j:\Unity3d\Projects\Galactic Frontier\Assets\JMO Assets\Cartoon FX Remaster\CFXR Assets\Editor\CFXR_ExpressionParser.cs", "C#", -223, 0, 0, 0, 0, 0, 0, 0, -14, -38, -275
"j:\Unity3d\Projects\Galactic Frontier\Assets\JMO Assets\Cartoon FX Remaster\CFXR Assets\Editor\CFXR_MaterialInspector.cs", "C#", -463, 0, 0, 0, 0, 0, 0, 0, -62, -67, -592
"j:\Unity3d\Projects\Galactic Frontier\Assets\JMO Assets\Cartoon FX Remaster\CFXR Assets\Editor\CFXR_ShaderImporter.cs", "C#", -376, 0, 0, 0, 0, 0, 0, 0, -6, -41, -423
"j:\Unity3d\Projects\Galactic Frontier\Assets\JMO Assets\Cartoon FX Remaster\CFXR Assets\Editor\CFXR_ShaderPostProcessor.cs", "C#", -35, 0, 0, 0, 0, 0, 0, 0, 0, -3, -38
"j:\Unity3d\Projects\Galactic Frontier\Assets\JMO Assets\Cartoon FX Remaster\CFXR Assets\Editor\CFXR_Styles.cs", "C#", -291, 0, 0, 0, 0, 0, 0, 0, -40, -32, -363
"j:\Unity3d\Projects\Galactic Frontier\Assets\JMO Assets\Cartoon FX Remaster\CFXR Assets\Scripts\CFXR_Effect.CameraShake.cs", "C#", -235, 0, 0, 0, 0, 0, 0, 0, -14, -39, -288
"j:\Unity3d\Projects\Galactic Frontier\Assets\JMO Assets\Cartoon FX Remaster\CFXR Assets\Scripts\CFXR_Effect.cs", "C#", -729, 0, 0, 0, 0, 0, 0, 0, -28, -121, -878
"j:\Unity3d\Projects\Galactic Frontier\Assets\JMO Assets\Cartoon FX Remaster\CFXR Assets\Scripts\CFXR_EmissionBySurface.cs", "C#", -175, 0, 0, 0, 0, 0, 0, 0, -1, -19, -195
"j:\Unity3d\Projects\Galactic Frontier\Assets\JMO Assets\Cartoon FX Remaster\CFXR Assets\Scripts\CFXR_ParticleText.cs", "C#", -340, 0, 0, 0, 0, 0, 0, 0, -22, -57, -419
"j:\Unity3d\Projects\Galactic Frontier\Assets\JMO Assets\Cartoon FX Remaster\CFXR Assets\Scripts\CFXR_ParticleTextFontAsset.cs", "C#", -109, 0, 0, 0, 0, 0, 0, 0, -5, -14, -128
"j:\Unity3d\Projects\Galactic Frontier\Assets\JMO Assets\Cartoon FX Remaster\CFXR Assets\Shaders\CFXR.cginc", "HLSL", 0, 0, 0, -269, 0, 0, 0, 0, -42, -56, -367
"j:\Unity3d\Projects\Galactic Frontier\Assets\JMO Assets\Cartoon FX Remaster\CFXR Assets\Shaders\CFXR_PASSES.cginc", "HLSL", 0, 0, 0, -792, 0, 0, 0, 0, -151, -213, -1156
"j:\Unity3d\Projects\Galactic Frontier\Assets\JMO Assets\Cartoon FX Remaster\CFXR Assets\Shaders\CFXR_SETTINGS.cginc", "HLSL", 0, 0, 0, -2, 0, 0, 0, 0, -12, -8, -22
"j:\Unity3d\Projects\Galactic Frontier\Assets\JMO Assets\Cartoon FX Remaster\CFXR Assets\Shaders\CFXR_URP.cginc", "HLSL", 0, 0, 0, -114, 0, 0, 0, 0, -84, -34, -232
"j:\Unity3d\Projects\Galactic Frontier\Assets\JMO Assets\Cartoon FX Remaster\Demo Assets\CFXR_Demo.cs", "C#", -219, 0, 0, 0, 0, 0, 0, 0, -8, -43, -270
"j:\Unity3d\Projects\Galactic Frontier\Assets\JMO Assets\Cartoon FX Remaster\Demo Assets\CFXR_Demo_Rotate.cs", "C#", -14, 0, 0, 0, 0, 0, 0, 0, -4, -3, -21
"j:\Unity3d\Projects\Galactic Frontier\Assets\JMO Assets\Cartoon FX Remaster\Demo Assets\CFXR_Demo_Translate.cs", "C#", -31, 0, 0, 0, 0, 0, 0, 0, -4, -7, -42
"j:\Unity3d\Projects\Galactic Frontier\Assets\JMO Assets\Cartoon FX Remaster\Demo Assets\Kino Bloom\Bloom.cs", "C#", -172, 0, 0, 0, 0, 0, 0, 0, -51, -50, -273
"j:\Unity3d\Projects\Galactic Frontier\Assets\JMO Assets\Cartoon FX Remaster\Demo Assets\Kino Bloom\Editor\BloomEditor.cs", "C#", -45, 0, 0, 0, 0, 0, 0, 0, -23, -9, -77
"j:\Unity3d\Projects\Galactic Frontier\Assets\JMO Assets\Cartoon FX Remaster\Demo Assets\Kino Bloom\Editor\BloomGraphDrawer.cs", "C#", -116, 0, 0, 0, 0, 0, 0, 0, -40, -28, -184
"j:\Unity3d\Projects\Galactic Frontier\Assets\JMO Assets\Cartoon FX Remaster\Demo Assets\Kino Bloom\Shader\Bloom.cginc", "HLSL", 0, 0, 0, -171, 0, 0, 0, 0, -42, -39, -252
"j:\Unity3d\Projects\Galactic Frontier\Assets\JMO Assets\Cartoon FX Remaster\Demo Assets\Kino Bloom\Shader\Bloom.shader", "ShaderLab", 0, -109, 0, 0, 0, 0, 0, 0, -32, -1, -142
"j:\Unity3d\Projects\Galactic Frontier\Assets\JMO Assets\Cartoon FX Remaster\Readme Cartoon FX Remaster FREE.html", "HTML", 0, 0, 0, 0, -245, 0, 0, 0, 0, -33, -278
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Documentation\assets\css\main.css", "PostCSS", 0, 0, 0, 0, 0, 0, -610, 0, -79, -148, -837
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Documentation\assets\index.html", "HTML", 0, 0, 0, 0, -10, 0, 0, 0, 0, -1, -11
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Documentation\classes\LTBezierPath.html", "HTML", 0, 0, 0, 0, -543, 0, 0, 0, -4, -247, -794
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Documentation\classes\LTDescr.html", "HTML", 0, 0, 0, 0, -1940, 0, 0, 0, -4, -999, -2943
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Documentation\classes\LTEvent.html", "HTML", 0, 0, 0, 0, -180, 0, 0, 0, -4, -56, -240
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Documentation\classes\LTRect.html", "HTML", 0, 0, 0, 0, -267, 0, 0, 0, -4, -91, -362
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Documentation\classes\LTSeq.html", "HTML", 0, 0, 0, 0, -379, 0, 0, 0, -4, -154, -537
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Documentation\classes\LTSpline.html", "HTML", 0, 0, 0, 0, -542, 0, 0, 0, -4, -253, -799
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Documentation\classes\LeanAudio.html", "HTML", 0, 0, 0, 0, -243, 0, 0, 0, -4, -88, -335
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Documentation\classes\LeanAudioOptions.html", "HTML", 0, 0, 0, 0, -275, 0, 0, 0, -4, -107, -386
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Documentation\classes\LeanSmooth.html", "HTML", 0, 0, 0, 0, -1357, 0, 0, 0, -4, -600, -1961
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Documentation\classes\LeanTween.html", "HTML", 0, 0, 0, 0, -5465, 0, 0, 0, -4, -2655, -8124
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Documentation\classes\LeanTweenType.html", "HTML", 0, 0, 0, 0, -637, 0, 0, 0, -4, -452, -1093
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Documentation\classes\index.html", "HTML", 0, 0, 0, 0, -10, 0, 0, 0, 0, -1, -11
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Documentation\elements\index.html", "HTML", 0, 0, 0, 0, -10, 0, 0, 0, 0, -1, -11
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Documentation\index.html", "HTML", 0, 0, 0, 0, -142, 0, 0, 0, -4, -22, -168
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Editor\LeanTweenDocumentationEditor.cs", "C#", -48, 0, 0, 0, 0, 0, 0, 0, -2, -9, -59
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Framework\LTDescr.cs", "C#", -1657, 0, 0, 0, 0, 0, 0, 0, -370, -282, -2309
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Framework\LTDescrOptional.cs", "C#", -61, 0, 0, 0, 0, 0, 0, 0, -15, -14, -90
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Framework\LTSeq.cs", "C#", -99, 0, 0, 0, 0, 0, 0, 0, -79, -48, -226
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Framework\LeanAudio.cs", "C#", -257, 0, 0, 0, 0, 0, 0, 0, -81, -81, -419
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Framework\LeanSmooth.cs", "C#", -136, 0, 0, 0, 0, 0, 0, 0, -186, -43, -365
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Framework\LeanTest.cs", "C#", -106, 0, 0, 0, 0, 0, 0, 0, -1, -16, -123
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Framework\LeanTween.cs", "C#", -2283, 0, 0, 0, 0, 0, 0, 0, -1383, -450, -4116
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Framework\LeanTweenExt.cs", "C#", -124, 0, 0, 0, 0, 0, 0, 0, -57, -7, -188
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Testing\FollowingTests.cs", "C#", -44, 0, 0, 0, 0, 0, 0, 0, -4, -22, -70
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Testing\PerformanceTests.cs", "C#", -44, 0, 0, 0, 0, 0, 0, 0, -4, -16, -64
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Testing\Scripts\LeanPool.cs", "C#", -61, 0, 0, 0, 0, 0, 0, 0, -3, -20, -84
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Testing\Testing240.cs", "C#", -44, 0, 0, 0, 0, 0, 0, 0, -8, -17, -69
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Testing\Testing243.cs", "C#", -13, 0, 0, 0, 0, 0, 0, 0, -13, -9, -35
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Testing\Testing246.cs", "C#", -11, 0, 0, 0, 0, 0, 0, 0, -20, -12, -43
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Testing\Testing248.cs", "C#", -12, 0, 0, 0, 0, 0, 0, 0, -2, -4, -18
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Testing\TestingColorTweening.cs", "C#", -14, 0, 0, 0, 0, 0, 0, 0, -1, -7, -22
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Testing\TestingDescr.cs", "C#", -16, 0, 0, 0, 0, 0, 0, 0, -2, -6, -24
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Testing\TestingIssue.cs", "C#", -26, 0, 0, 0, 0, 0, 0, 0, -1, -7, -34
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Testing\TestingIssue2.cs", "C#", -27, 0, 0, 0, 0, 0, 0, 0, -1, -6, -34
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Testing\TestingMaxTweens.cs", "C#", -20, 0, 0, 0, 0, 0, 0, 0, -2, -7, -29
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Testing\TestingOptionalCancel.cs", "C#", -24, 0, 0, 0, 0, 0, 0, 0, -2, -7, -33
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Testing\TestingRotate.cs", "C#", -21, 0, 0, 0, 0, 0, 0, 0, -6, -12, -39
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Testing\TestingSceneSwitching.cs", "C#", -35, 0, 0, 0, 0, 0, 0, 0, -4, -18, -57
"j:\Unity3d\Projects\Galactic Frontier\Assets\LeanTween\Testing\TestingSequencer.cs", "C#", -21, 0, 0, 0, 0, 0, 0, 0, 0, -5, -26
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Common\Script\Utils\SecondOrderDynamics.cs", "C#", -107, 0, 0, 0, 0, 0, 0, 0, -1, -26, -134
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Pixel Art Platformer - Village Props\Script\BoundingPlatform.cs", "C#", -89, 0, 0, 0, 0, 0, 0, 0, -2, -19, -110
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Pixel Art Platformer - Village Props\Script\Chest.cs", "C#", -33, 0, 0, 0, 0, 0, 0, 0, 0, -5, -38
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Pixel Art Platformer - Village Props\Script\Editor\ChestEditor.cs", "C#", -11, 0, 0, 0, 0, 0, 0, 0, 0, -3, -14
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Pixel Art Platformer - Village Props\Script\Editor\ElevatorEditor.cs", "C#", -11, 0, 0, 0, 0, 0, 0, 0, 0, -3, -14
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Pixel Art Platformer - Village Props\Script\Elevator.cs", "C#", -103, 0, 0, 0, 0, 0, 0, 0, -99, -35, -237
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Pixel Art Platformer - Village Props\Script\MovingPlatform.cs", "C#", -45, 0, 0, 0, 0, 0, 0, 0, -3, -13, -61
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Attributes\AssetsOnlyAttributeProcessor.cs", "C#", -12, 0, 0, 0, 0, 0, 0, 0, 0, -1, -13
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Attributes\BlockquoteAttributeProcessor.cs", "C#", -17, 0, 0, 0, 0, 0, 0, 0, 0, -2, -19
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Attributes\BoxGroupAttributeProcessor.cs", "C#", -21, 0, 0, 0, 0, 0, 0, 0, 0, -3, -24
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Attributes\DisableIfAttributeProcessor.cs", "C#", -13, 0, 0, 0, 0, 0, 0, 0, 0, -1, -14
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Attributes\DisableInEditModeAttributeProcessor.cs", "C#", -14, 0, 0, 0, 0, 0, 0, 0, 0, -1, -15
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Attributes\DisableInPlayModeAttributeProcessor.cs", "C#", -14, 0, 0, 0, 0, 0, 0, 0, 0, -1, -15
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Attributes\EnableIfAttributeProcessor.cs", "C#", -13, 0, 0, 0, 0, 0, 0, 0, 0, -1, -14
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Attributes\FoldoutGroupAttributeProcessor.cs", "C#", -27, 0, 0, 0, 0, 0, 0, 0, 0, -5, -32
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Attributes\GUIColorAttributeProcessor.cs", "C#", -18, 0, 0, 0, 0, 0, 0, 0, 0, -2, -20
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Attributes\GroupAttributeProcessor.cs", "C#", -21, 0, 0, 0, 0, 0, 0, 0, 0, -3, -24
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Attributes\HelpBoxAttributeProcessor.cs", "C#", -14, 0, 0, 0, 0, 0, 0, 0, 0, -1, -15
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Attributes\HelpBoxIfAttributeProcessor.cs", "C#", -17, 0, 0, 0, 0, 0, 0, 0, 0, -1, -18
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Attributes\HideIfAttributeProcessor.cs", "C#", -13, 0, 0, 0, 0, 0, 0, 0, 0, -1, -14
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Attributes\HideLabelAttributeProcessor.cs", "C#", -12, 0, 0, 0, 0, 0, 0, 0, 0, -1, -13
"j:\Unity3d\Projects\Galactic Frontier\Assets\Packages\Cainos\Third Party\Lucid Editor\Editor\Attributes\HorizontalGroupAttributeProcessor.cs", "C#", -23, 0, 0, 0, 0, 0, 0, 0, 0, -3, -26
