level,health,attack,defense,accuracy ,dodge,critical,criticalDamage,damageReduction,energyGenerateRate,speed
1,100,10,10,0.8,0.1,0.1,1.2,0,10,30
2,150,15,15,0.8,0.1,0.1,1.2,0,10,30
3,200,20,20,0.8,0.1,0.1,1.2,0,10,30
4,250,25,25,0.8,0.1,0.1,1.2,0,10,30
5,300,30,30,0.8,0.1,0.1,1.2,0,10,30
6,350,35,35,0.8,0.1,0.1,1.2,0,10,30
7,400,40,40,0.8,0.1,0.1,1.2,0,10,30
8,450,45,45,0.8,0.1,0.1,1.2,0,10,30
9,500,50,50,0.8,0.1,0.1,1.2,0,10,30
10,550,55,55,0.8,0.1,0.1,1.2,0,10,30
11,600,60,60,0.8,0.1,0.1,1.2,0,10,30
12,650,65,65,0.8,0.1,0.1,1.2,0,10,30
13,700,70,70,0.8,0.1,0.1,1.2,0,10,30
14,750,75,75,0.8,0.1,0.1,1.2,0,10,30
15,800,80,80,0.8,0.1,0.1,1.2,0,10,30
16,850,85,85,0.8,0.1,0.1,1.2,0,10,30
17,900,90,90,0.8,0.1,0.1,1.2,0,10,30
18,950,95,95,0.8,0.1,0.1,1.2,0,10,30
19,1000,100,100,0.8,0.1,0.1,1.2,0,10,30
20,1050,105,105,0.8,0.1,0.1,1.2,0,10,30
21,1100,110,110,0.8,0.1,0.1,1.2,0,10,30
22,1150,115,115,0.8,0.1,0.1,1.2,0,10,30
23,1200,120,120,0.8,0.1,0.1,1.2,0,10,30
24,1250,125,125,0.8,0.1,0.1,1.2,0,10,30
25,1300,130,130,0.8,0.1,0.1,1.2,0,10,30
26,1350,135,135,0.8,0.1,0.1,1.2,0,10,30
27,1400,140,140,0.8,0.1,0.1,1.2,0,10,30
28,1450,145,145,0.8,0.1,0.1,1.2,0,10,30
29,1500,150,150,0.8,0.1,0.1,1.2,0,10,30
30,1550,155,155,0.8,0.1,0.1,1.2,0,10,30
31,1600,160,160,0.8,0.1,0.1,1.2,0,10,30
32,1650,165,165,0.8,0.1,0.1,1.2,0,10,30
33,1700,170,170,0.8,0.1,0.1,1.2,0,10,30
34,1750,175,175,0.8,0.1,0.1,1.2,0,10,30
35,1800,180,180,0.8,0.1,0.1,1.2,0,10,30
36,1850,185,185,0.8,0.1,0.1,1.2,0,10,30
37,1900,190,190,0.8,0.1,0.1,1.2,0,10,30
38,1950,195,195,0.8,0.1,0.1,1.2,0,10,30
39,2000,200,200,0.8,0.1,0.1,1.2,0,10,30
40,2050,205,205,0.8,0.1,0.1,1.2,0,10,30
41,2100,210,210,0.8,0.1,0.1,1.2,0,10,30
42,2150,215,215,0.8,0.1,0.1,1.2,0,10,30
43,2200,220,220,0.8,0.1,0.1,1.2,0,10,30
44,2250,225,225,0.8,0.1,0.1,1.2,0,10,30
45,2300,230,230,0.8,0.1,0.1,1.2,0,10,30
46,2350,235,235,0.8,0.1,0.1,1.2,0,10,30
47,2400,240,240,0.8,0.1,0.1,1.2,0,10,30
48,2450,245,245,0.8,0.1,0.1,1.2,0,10,30
49,2500,250,250,0.8,0.1,0.1,1.2,0,10,30
50,2550,255,255,0.8,0.1,0.1,1.2,0,10,30
51,2600,260,260,0.8,0.1,0.1,1.2,0,10,30
52,2650,265,265,0.8,0.1,0.1,1.2,0,10,30
53,2700,270,270,0.8,0.1,0.1,1.2,0,10,30
54,2750,275,275,0.8,0.1,0.1,1.2,0,10,30
55,2800,280,280,0.8,0.1,0.1,1.2,0,10,30
56,2850,285,285,0.8,0.1,0.1,1.2,0,10,30
57,2900,290,290,0.8,0.1,0.1,1.2,0,10,30
58,2950,295,295,0.8,0.1,0.1,1.2,0,10,30
59,3000,300,300,0.8,0.1,0.1,1.2,0,10,30
60,3050,305,305,0.8,0.1,0.1,1.2,0,10,30
61,3100,310,310,0.8,0.1,0.1,1.2,0,10,30
62,3150,315,315,0.8,0.1,0.1,1.2,0,10,30
63,3200,320,320,0.8,0.1,0.1,1.2,0,10,30
64,3250,325,325,0.8,0.1,0.1,1.2,0,10,30
65,3300,330,330,0.8,0.1,0.1,1.2,0,10,30
66,3350,335,335,0.8,0.1,0.1,1.2,0,10,30
67,3400,340,340,0.8,0.1,0.1,1.2,0,10,30
68,3450,345,345,0.8,0.1,0.1,1.2,0,10,30
69,3500,350,350,0.8,0.1,0.1,1.2,0,10,30
70,3550,355,355,0.8,0.1,0.1,1.2,0,10,30
71,3600,360,360,0.8,0.1,0.1,1.2,0,10,30
72,3650,365,365,0.8,0.1,0.1,1.2,0,10,30
73,3700,370,370,0.8,0.1,0.1,1.2,0,10,30
74,3750,375,375,0.8,0.1,0.1,1.2,0,10,30
75,3800,380,380,0.8,0.1,0.1,1.2,0,10,30
76,3850,385,385,0.8,0.1,0.1,1.2,0,10,30
77,3900,390,390,0.8,0.1,0.1,1.2,0,10,30
78,3950,395,395,0.8,0.1,0.1,1.2,0,10,30
79,4000,400,400,0.8,0.1,0.1,1.2,0,10,30
80,4050,405,405,0.8,0.1,0.1,1.2,0,10,30
81,4100,410,410,0.8,0.1,0.1,1.2,0,10,30
82,4150,415,415,0.8,0.1,0.1,1.2,0,10,30
83,4200,420,420,0.8,0.1,0.1,1.2,0,10,30
84,4250,425,425,0.8,0.1,0.1,1.2,0,10,30
85,4300,430,430,0.8,0.1,0.1,1.2,0,10,30
86,4350,435,435,0.8,0.1,0.1,1.2,0,10,30
